@relation acc
@attribute lat numeric
@attribute lon numeric
@attribute airtemp numeric
@attribute groundtemp numeric
@attribute hours numeric
@attribute acc {Y, N}
@data
47.570396,-122.31476,51.56, 51.43,6, Y 
47.616943,-122.33272,49.10, 51.13,6, Y 
47.64045,-122.32135,51.45, 51.97,12, Y 
47.606087,-122.33291,52.36, 53.37,4, Y 
47.548267,-122.33431,50.78, 52.01,11, Y 
47.55741,-122.33421,51.18, 50.87,7, Y 
47.5869,-122.29808,51.41, 51.31,6, Y 
47.611004,-122.344986,50.82, 51.15,9, Y 
47.54468,-122.37645,49.71, 49.62,7, Y 
47.607197,-122.32318,50.85, 51.19,9, Y 
47.55335,-122.32101,50.96, 50.54,8, Y 
47.59031,-122.32905,51.24, 51.79,6, Y 
47.645912,-122.40093,51.27, 51.93,12, Y 
47.596485,-122.32905,50.33, 51.50,11, Y 
47.60084,-122.31158,50.48, 50.35,8, Y 
47.548267,-122.33431,50.86, 50.36,8, Y 
47.503384,-122.250824,50.62, 50.25,8, Y 
47.661385,-122.3344,51.28, 51.69,12, Y 
47.686687,-122.313354,50.40, 50.90,11, Y 
47.648994,-122.30459,49.84, 49.39,10, Y 
47.61528,-122.33784,48.68, 48.26,2, Y 
47.618786,-122.3143,51.34, 51.32,12, Y 
47.600464,-122.33081,48.44, 48.09,8, Y 
47.621265,-122.36165,48.38, 47.38,8, Y 
47.607998,-122.298874,47.27, 46.56,7, Y 
47.61412,-122.29618,49.28, 48.59,9, Y 
47.696026,-122.35536,50.20, 50.18,11, Y 
47.65798,-122.33623,48.31, 47.28,8, Y 
47.648464,-122.3775,49.52, 49.77,10, Y 
47.69064,-122.36987,46.90, 46.40,7, Y 
47.616734,-122.30741,50.32, 50.39,11, Y 
47.632366,-122.29707,51.47, 51.24,12, Y 
47.595814,-122.31283,51.35, 51.31,12, Y 
47.537643,-122.27043,69.07, 77.02,10, Y 
47.554756,-122.31347,59.04, 64.03,10, Y 
47.69583,-122.349976,64.33, 72.22,2, Y 
47.59921,-122.31414,55.99, 59.88,1, Y 
47.616055,-122.33617,65.94, 77.10,11, Y 
47.648163,-122.3428,46.93, 45.86,6, Y 
47.708603,-122.324615,70.03, 76.23,11, Y 
